Вопросы,Намерение,Уверенность анализа
Почему вы списываете деньги без моего согласия?!,billing,0.98
"Где мои проклятые бонусы, которые вы обещали?!",billing,0.95
Почему я не могу отключить эту чертову услугу?!,complaint,0.97
Кто разрешил вам подключать платные подписки без спроса?!,billing,0.99
"Почему интернет такой медленный, хотя я плачу за скорость?!",technical,0.96
Когда вы уже почините эту гребаную связь?!,technical,0.94
"Почему мне не приходит СМС с кодом, вы что, издеваетесь?!",technical,0.93
"Кто виноват, что у меня сгорел кешбэк?!",billing,0.92
"Почему вы не предупредили, что тариф изменится?!",complaint,0.97
Зачем вы втихую подключили автопродление?!,billing,0.98
"Почему я не могу зайти в личный кабинет, это же ваш косяк?!",technical,0.95
"Кто решил, что мне нужен этот дурацкий защитник?!",complaint,0.91
"Почему вы сняли деньги дважды, это же воровство?!",billing,0.99
Когда вы вернете мои деньги за неработающую услугу?!,billing,0.97
Почему ваш оператор ничего не знает и не может помочь?!,complaint,0.96
"Зачем вы усложняете отмену подписки, это же обман?!",complaint,0.98
Почему я не могу удалить карту из вашего приложения?!,technical,0.94
Кто придумал эту неработающую систему платежей?!,technical,0.93
Почему вы не предупреждаете о списаниях заранее?!,complaint,0.97
Когда вы наконец почините ваш глючный сайт?!,technical,0.95
Почему мой тариф стал дороже без предупреждения?!,billing,0.98
"Кто виноват, что у меня пропал интернет в роуминге?!",technical,0.96
Почему вы не возвращаете деньги за ошибочный платеж?!,billing,0.97
Зачем вы скрываете условия тарифа до подключения?!,complaint,0.95
Почему ваш сервис такой неудобный и тормозит?!,technical,0.94
Когда вы исправите баг с отображением баланса?!,technical,0.93
Почему вы не отвечаете на мои жалобы?!,complaint,0.96
"Кто решил, что мне нужен этот бесполезный кешбэк?!",billing,0.92
Почему я не могу отвязать номер от чужого аккаунта?!,technical,0.95
Зачем вы ввели эту дурацкую проверку по СМС?!,technical,0.94
"Почему у меня не работает мобильный банк, хотя интернет есть?!",technical,0.96
"Кто виноват, что мой номер заблокировали без причины?!",complaint,0.97
"Почему вы не предупредили, что роуминг платный?!",billing,0.98
Когда вы вернете деньги за некачественную услугу?!,billing,0.97
Почему я не могу отключить навязанную услугу в приложении?!,technical,0.95
Зачем вы усложнили процесс возврата денег?!,complaint,0.96
"Почему ваш оператор не знает, как решить мою проблему?!",complaint,0.95
Кто разрешил списывать деньги за неиспользуемую услугу?!,billing,0.98
Почему я не могу зайти в приложение с нового телефона?!,technical,0.94
Когда вы исправите ошибку с двойным списанием средств?!,billing,0.97
Почему вы не предупреждаете о лимитах интернета?!,complaint,0.96
"Кто виноват, что мой тариф автоматически обновился?!",billing,0.95
Почему я не могу отменить подписку через приложение?!,technical,0.94
Зачем вы скрываете комиссии за переводы?!,billing,0.97
Почему ваш сервис поддержки такой бесполезный?!,complaint,0.96
Когда вы почините проблему с уведомлениями?!,technical,0.93
Почему вы не возвращаете деньги за ошибочный платеж?!,billing,0.98
"Кто решил, что мне нужно платить за ненужные услуги?!",billing,0.97
"Почему я не могу подключить тариф без вашего ""помощника""?!",technical,0.95
Зачем вы усложнили процесс смены тарифа?!,complaint,0.96
Почему у меня не отображается остаток интернета?!,technical,0.94
"Кто виноват, что мой номер перестал работать?!",technical,0.95
"Почему вы не предупредили, что услуга платная?!",billing,0.98
Когда вы исправите баг с историей платежей?!,technical,0.93
Почему я не могу отвязать карту от вашего сервиса?!,technical,0.94
Зачем вы ввели эту дурацкую систему верификации?!,technical,0.92
Почему ваш оператор не может решить простую проблему?!,complaint,0.95
Кто разрешил списывать деньги за неактивную услугу?!,billing,0.97
Почему я не могу зайти в личный кабинет с компьютера?!,technical,0.94
Когда вы вернете деньги за неработающий сервис?!,billing,0.96
Почему вы не предупреждаете о списаниях за роуминг?!,complaint,0.97
"Кто виноват, что у меня сняли деньги за неиспользуемую услугу?!",billing,0.98
Почему я не могу отключить автопродление подписки?!,technical,0.95
Зачем вы скрываете реальную стоимость тарифа?!,complaint,0.96
Почему ваш сервис такой нестабильный и постоянно падает?!,technical,0.94
Когда вы исправите ошибку с отображением баланса?!,technical,0.93
Почему вы не отвечаете на мои обращения?!,complaint,0.95
"Кто решил, что мне нужен этот бесполезный кешбэк?!",billing,0.92
Почему я не могу привязать новую карту к аккаунту?!,technical,0.94
Зачем вы ввели эту дурацкую проверку по email?!,technical,0.93
"Почему у меня не работает мобильный банк, хотя интернет есть?!",technical,0.95
"Кто виноват, что мой номер заблокировали без причины?!",complaint,0.96
"Почему вы не предупредили, что роуминг платный?!",billing,0.97
Когда вы вернете деньги за некачественную услугу?!,billing,0.96
Почему я не могу отключить навязанную услугу в приложении?!,technical,0.94
Зачем вы усложнили процесс возврата денег?!,complaint,0.95
"Почему ваш оператор не знает, как решить мою проблему?!",complaint,0.94
Кто разрешил списывать деньги за неиспользуемую услугу?!,billing,0.97
Почему я не могу зайти в приложение с нового телефона?!,technical,0.93
Когда вы исправите ошибку с двойным списанием средств?!,billing,0.96
Почему вы не предупреждаете о лимитах интернета?!,complaint,0.95
"Кто виноват, что мой тариф автоматически обновился?!",billing,0.94
Почему я не могу отменить подписку через приложение?!,technical,0.93
Зачем вы скрываете комиссии за переводы?!,billing,0.96
Почему ваш сервис поддержки такой бесполезный?!,complaint,0.95
Когда вы почините проблему с уведомлениями?!,technical,0.92
Почему вы не возвращаете деньги за ошибочный платеж?!,billing,0.97
"Кто решил, что мне нужно платить за ненужные услуги?!",billing,0.96
"Почему я не могу подключить тариф без вашего ""помощника""?!",technical,0.94
Зачем вы усложнили процесс смены тарифа?!,complaint,0.95
Почему у меня не отображается остаток интернета?!,technical,0.93
"Кто виноват, что мой номер перестал работать?!",technical,0.94
"Почему вы не предупредили, что услуга платная?!",billing,0.97
Когда вы исправите баг с историей платежей?!,technical,0.92
Почему я не могу отвязать карту от вашего сервиса?!,technical,0.93
Зачем вы ввели эту дурацкую систему верификации?!,technical,0.91
Почему ваш оператор не может решить простую проблему?!,complaint,0.94
Кто разрешил списывать деньги за неактивную услугу?!,billing,0.96
Почему я не могу зайти в личный кабинет с компьютера?!,technical,0.93
Когда вы вернете деньги за неработающий сервис?!,billing,0.95
"Как здорово, что можно проверить баланс в приложении!",billing,0.92
"Ура, я наконец-то подключил дополнительный пакет интернета!",billing,0.94
"Как приятно, что можно заказать детализацию звонков онлайн!",billing,0.93
"Класс, что есть автопродление пакетов, не нужно беспокоиться!",billing,0.95
"Как удобно, что можно следить за балансом близких!",billing,0.91
"Здорово, что можно менять тариф в пару кликов!",billing,0.94
"Как круто, что есть кешбэк за покупки!",billing,0.93
"Ура, я получил бонус за подключение новой SIM-карты!",billing,0.92
"Как приятно, что можно оплатить услуги без комиссии!",billing,0.95
"Класс, что можно подключить eSIM без визита в офис!",technical,0.94
"Как здорово, что интернет такой быстрый!",technical,0.93
"Ура, я наконец-то разобрался с настройкой тарифа!",technical,0.92
"Как удобно, что можно проверить остатки пакетов в виджете!",billing,0.94
"Класс, что можно слушать музыку без рекламы!",billing,0.93
"Как приятно, что поддержка отвечает быстро и помогает!",complaint,0.91
"Ура, я получил промокод на скидку!",billing,0.92
"Как здорово, что можно оплачивать услуги картой!",billing,0.95
"Класс, что можно подключить подписку на кино!",billing,0.94
"Как удобно, что есть родительский контроль!",technical,0.93
"Ура, я наконец-то подключил безлимитный интернет!",billing,0.96
"Как приятно, что можно проверить историю платежей!",billing,0.94
"Класс, что можно отключить ненужные услуги в приложении!",billing,0.93
"Как здорово, что есть уведомления о списаниях!",billing,0.95
"Ура, я получил кешбэк за поездку на самокате!",billing,0.92
"Как удобно, что можно пополнить баланс онлайн!",billing,0.96
"Класс, что можно скачать чек об оплате!",billing,0.93
"Как приятно, что можно настроить автоплатёж!",billing,0.95
"Ура, я наконец-то разобрался с настройкой интернета!",technical,0.94
"Как здорово, что можно проверить прогноз списаний!",billing,0.93
"Класс, что можно подключить подписку на музыку!",billing,0.94
"Как удобно, что можно проверить остаток интернета!",billing,0.95
"Ура, я получил бонус за продление подписки!",billing,0.92
"Как приятно, что можно оплатить штраф онлайн!",billing,0.94
"Класс, что можно подключить дополнительный пакет минут!",billing,0.93
"Как здорово, что можно проверить подключённые услуги!",billing,0.95
"Ура, я наконец-то подключил новый тариф!",billing,0.96
"Как удобно, что можно проверить баланс кешбэка!",billing,0.94
"Класс, что можно оплатить ЖКХ без комиссии!",billing,0.93
"Как приятно, что можно настроить уведомления!",technical,0.92
"Ура, я получил скидку на покупку в интернет-магазине!",billing,0.95
"Как здорово, что можно проверить статус заказа!",billing,0.94
"Класс, что можно подключить подписку на игры!",billing,0.93
"Как удобно, что можно проверить остаток минут!",billing,0.95
"Ура, я наконец-то разобрался с настройкой роуминга!",technical,0.94
"Как приятно, что можно проверить историю начислений!",billing,0.93
"Класс, что можно подключить подписку на книги!",billing,0.94
"Как здорово, что можно проверить остаток SMS!",billing,0.92
"Ура, я получил промокод на дополнительный трафик!",billing,0.95
"Как удобно, что можно проверить подключённые подписки!",billing,0.94
"Класс, что можно оплатить налоги онлайн!",billing,0.93
"Как приятно, что можно настроить родительский контроль!",technical,0.92
"Ура, я наконец-то подключил защитник от спама!",technical,0.94
"Как здорово, что можно проверить баланс подарочной карты!",billing,0.93
"Класс, что можно подключить подписку на фильмы!",billing,0.95
"Как удобно, что можно проверить остаток интернета в роуминге!",billing,0.94
"Ура, я получил бонус за пополнение баланса!",billing,0.92
"Как приятно, что можно проверить подключённые номера!",billing,0.95
"Класс, что можно оплатить билеты через приложение!",billing,0.93
"Как здорово, что можно проверить остаток трафика в подписке!",billing,0.94
"Ура, я наконец-то разобрался с настройкой eSIM!",technical,0.95
"Как удобно, что можно проверить историю списаний!",billing,0.93
"Класс, что можно подключить подписку на облако!",billing,0.94
"Как приятно, что можно проверить остаток интернета на тарифе!",billing,0.95
"Ура, я получил промокод на скидку на подписку!",billing,0.92
"Как здорово, что можно проверить подключённые карты!",billing,0.94
"Класс, что можно оплатить интернет без комиссии!",billing,0.93
"Как удобно, что можно проверить остаток минут в роуминге!",billing,0.95
"Ура, я наконец-то подключил новый пакет интернета!",billing,0.96
"Как приятно, что можно проверить баланс бонусов!",billing,0.94
"Класс, что можно подключить подписку на музыку без рекламы!",billing,0.93
"Как здорово, что можно проверить остаток SMS в роуминге!",billing,0.92
"Ура, я получил скидку на покупку в салоне!",billing,0.95
"Как удобно, что можно проверить подключённые устройства!",technical,0.94
"Класс, что можно оплатить подписку картой!",billing,0.93
"Как приятно, что можно проверить остаток интернета в подписке!",billing,0.95
"Ура, я наконец-то разобрался с настройкой уведомлений!",technical,0.94
"Как здорово, что можно проверить историю подключений!",billing,0.93
"Класс, что можно подключить подписку на игры со скидкой!",billing,0.94
"Как удобно, что можно проверить остаток трафика на тарифе!",billing,0.95
"Ура, я получил промокод на дополнительный трафик!",billing,0.92
"Как приятно, что можно проверить подключённые подписки!",billing,0.94
"Класс, что можно оплатить штрафы онлайн!",billing,0.93
"Как здорово, что можно проверить остаток интернета в подписке!",billing,0.95
"Ура, я наконец-то подключил защитник от мошенников!",technical,0.94
"Как удобно, что можно проверить баланс подарочной карты!",billing,0.93
"Класс, что можно подключить подписку на фильмы со скидкой!",billing,0.95
"Как приятно, что можно проверить остаток интернета в роуминге!",billing,0.94
"Ура, я получил бонус за продление подписки!",billing,0.92
"Как здорово, что можно проверить подключённые номера!",billing,0.95
"Класс, что можно оплатить билеты без комиссии!",billing,0.93
"Как удобно, что можно проверить остаток трафика в подписке!",billing,0.94
"Ура, я наконец-то разобрался с настройкой eSIM!",technical,0.95
"Как приятно, что можно проверить историю списаний!",billing,0.93
"Класс, что можно подключить подписку на облако!",billing,0.94
"Как здорово, что можно проверить остаток интернета на тарифе!",billing,0.95
"Ура, я получил промокод на скидку на подписку!",billing,0.92
"Как удобно, что можно проверить подключённые карты!",billing,0.94
"Класс, что можно оплатить интернет без комиссии!",billing,0.93
"Как приятно, что можно проверить остаток минут в роуминге!",billing,0.95
"Ура, я наконец-то подключил новый пакет интернета!",billing,0.96 
