Топик,Подтопик,Поисковой запрос,Текст
Главное,Приложение Мой МТС,Как проверить последние пополнения и списания," 1. Откройте Расходы


2. По умолчанию отобразятся все операции: и списания, и пополнения


3. Нажмите на вкладку Списания или вкладку Пополнения, чтобы посмотреть только один тип операций
"
Главное,Приложение Мой МТС,Как заказать детализацию,"
В детализации есть полные данные о том, как вы пользовались услугами связи в выбранный период. В ней вы найдёте все даты и суммы списаний и пополнений, список всех звонков, интернет-сессий и СМС.

Все события в детализации идут по порядку, начиная с самых ранних. Если вы активно пользуетесь интернетом, у вас будет много записей о выходах в сеть. В этом случае данные о звонках могут находиться между ними.

Как скачать детализацию или получить её на email:

1. Откройте Расходы


2. Нажмите ↓ Детализация


3. Выберите Отчёт по расходам


4. Выберите период и формат документа: PDF или XLSX


5. Если хотите сразу загрузить детализацию, нажмите Скачать. Чтобы получить документ на электронную почту, введите свой адрес и нажмите Отправить на email

Детализацию давностью от полугода до трёх лет можно получить только на email


Ещё один способ заказать детализацию ― в Личном кабинете. Инструкция есть в статье Как посмотреть детализацию расходов"
Главное,Приложение Мой МТС,Как оставаться на связи при минусе,Есть несколько способов пользоваться номером при отрицательном балансе. Вы можете посмотреть доступные опции и подключить их в разделе Каталог > Услуги > Возможности при нуле
Главное,Приложение Мой МТС,Как проверить баланс и пакеты по тарифу,"На главном экране, который открывается при входе в приложение Мой МТС, вы видите все самые важные цифры: 

сумму на балансе
оставшиеся минуты 
гигабайты интернета
СМС
Под остатком каждого пакета на счётчике написаны дни, оставшиеся до его обновления. Если вы израсходовали весь пакет или у вас безлимит, дни до обновления не показываются


Если пакеты по тарифу заканчиваются, о том, как их обновить, рассказываем в статье"
Главное,Приложение Мой МТС,"Что делать, если остатки пакетов не показываются","Вы не увидите остатки интернета, минут или СМС, если:

потрачен весь пакет
у вас безлимит
у вас тариф МТС Супер или МТС Доступ
Иногда данные об оставшемся трафике, минутах и СМС не обновляются, на их месте появляются восклицательные знаки или надпись «По тарифу».

Попробуйте несколько простых шагов:

Проверьте, подключен ли ваш смартфон к интернету
Попробуйте подключиться через сотовую связь МТС, а не через Wi-Fi
Проверьте, не включен ли у вас VPN. Он замедляет скорость передачи данных
Если рекомендации не помогли, свяжитесь с нами по номеру 8 800 250-08-90"
Главное,Приложение Мой МТС,Что такое прогноз списаний и как его посмотреть,"Прогноз списаний показывает график ваших платежей по тарифу, за услуги и опции на ближайшие 30 дней. Мой МТС строит прогноз с учётом тех услуг, которые подключены у вас сейчас. 

Чтобы увидеть прогноз: 

1. Откройте Расходы


2. Перейдите на экран Прогноз списаний


3. На экране вы увидите прогноз. Например:


Прогноз списаний может не отображаться:

с подпиской МТС Premium
с тарифами «Мы МТС» и «Весь МТС» 
с некоторыми услугами "
Главное,Приложение Мой МТС,Почему прогноз может измениться,"Мой МТС строит прогноз с учётом тех услуг, которые подключены у вас сейчас. Если вы подключаете новую платную услугу, прогноз изменится. Советуем проверять его после каждой такой покупки.

Также иногда бывает, что условия оплаты тарифа или услуги меняются. Например, в первые 30 дней они бесплатные, а потом становятся платными."
Главное,Приложение Мой МТС,Почему даты списаний могут меняться,"Это бывает, если вы:

перешли с ежедневной оплаты на ежемесячную — тогда новым днём списания становится день, когда с вашего баланса списалась плата за месяц
подключили обещанный платёж — тогда новым днём списания за месяц будет день, в который вы воспользовались платежом. Но если с ним суммы на балансе всё равно не хватит на оплату тарифа за месяц, дата не поменяется"
Главное,Приложение Мой МТС,"Как узнать, сколько осталось интернета","1. На главном экране вы увидите остаток трафика и количество дней до обновления пакета. Если у вас подключена подписка МТС Premium или услуга с дополнительным пакетом интернета, здесь вы увидите их трафик. Когда вы его потратите, появятся данные о пакете гигабайт по тарифу.

Чтобы посмотреть все пакеты интернета, нажмите на виджет с данными о них


 2. На открывшемся экране нажмите на счётчик интернета


 3. Вы увидите весь доступный интернет — трафик по тарифу и из дополнительных пакетов или подписок, если они подключены. Как это выглядит:

если есть услуга с пакетом интернета, например, Турбо-кнопка

если есть подписка МТС Premium

Вы не увидите остаток интернета, если:

трафик закончился
у вас безлимит
у вас тариф МТС Супер или МТС Доступ"
Главное,Приложение Мой МТС,"Что делать, если интернет заканчивается","Что делать, если интернет заканчивается
Вам помогут сервисы Обнови пакет или Турбо-кнопка

Обнови пакет
С этим сервисом вы получите новые пакеты Гбайт, минут и СМС, оплатив тариф досрочно. Эти пакеты будут действовать месяц. Поэтому в следующий раз плата по тарифу спишется через месяц, а не в день, к которому вы привыкли. Если у вас настроен автоплатёж по расписанию, советуем проверить его дату и при необходимости изменить её.

Обновить пакеты не получится, если:

на балансе не хватает денег для обновления
номер заблокирован
плата по тарифу списывается ежедневно, потому что на балансе не хватает денег на оплату за месяц
действует 100% скидка на тариф
плата по тарифу должна списаться ближайшей ночью после разблокировки номера
Как обновить пакеты по тарифу
Турбо-кнопка
Это дополнительный пакет интернета. Есть два типа Турбо-кнопок:

с определённым количеством Мбайт или Гбайт
на определённое время — 6 или 24 часа
Как выбрать и подключить Турбо-кнопку
Если вам постоянно не хватает интернета, советуем выбрать тариф с большим или настраиваемым количеством ГБ."
Главное,Приложение Мой МТС,Дополнительные пакеты интернета — автопродление,"Дополнительные пакеты интернета начинают автоматически подключаться после того, как закончился пакет интернета по тарифу. До следующего списания платы по тарифу может подключиться до 15 дополнительных пакетов. Стоимость каждого пакета списывается в момент его подключения.

Как узнать размер и стоимость дополнительного пакета интернета по тарифу
Как отключить автопродление
Если дополнительный пакет интернета не был израсходован до начисления пакета интернета по тарифу, остаток МБ на следующий месяц не переносится.

Инициаторы групп «Единый интернет», «Общий пакет», «Все вместе» могут предоставлять членам групп интернет только из основного пакета. Делиться интернетом из дополнительных пакетов невозможно."
Главное,Приложение Мой МТС,Как узнать подробности о своём тарифе,"1. На главном экране вы можете узнать:

название своего тарифа
размер пакетов интернета, минут, СМС и их остатки
Чтобы уточнить плату по тарифу и дату следующего списания, нажмите на название тарифа


2. Чтобы посмотреть полное описание тарифа, нажмите на кнопку О тарифе рядом с его названием


Для тарифов с настройкой пакетов и опций кнопка будет называться Настроить


3. На открывшемся экране вы увидите основные параметры тарифа. Если вам нужна максимально полная информация, пролистайте страницу вниз и нажмите на Подробное описание. Откроется PDF-файл с полными условиями тарифа


Если условия вашего тарифа меняются
Мы заранее сообщаем об этом в СМС или пуш-уведомлении в приложении Мой МТС.

СМС придёт от МТС, в нём мы:

рассказываем, с какой даты изменятся условия и какая будет стоимость
даём персональную ссылку, по которой вы сможете увидеть все изменения на своём тарифе и открыть файл с подробным описанием
даём ссылку на статью, в которой рассказываем о причинах изменения цен
Меняются только условия по тарифу, сам тариф и дата списания абонентской платы остаются прежними.

Если вы не успели посмотреть пуш-уведомление в Мой МТС в момент получения, нажмите на «колокольчик» на главном экране Мой МТС в левом верхнем углу."
Главное,Приложение Мой МТС,Как настроить тариф,"Если у вас тариф, на котором можно настраивать размеры пакетов интернета, минут и СМС, настройте его в приложении Мой МТС:

1. На главном экране нажмите на название своего тарифа


2. На открывшемся экране нажмите на кнопку Настроить рядом с названием тарифа


3. На открывшемся экране выберите нужное количество минут, ГБ и СМС

Настроить тариф в Мой МТС точно можно на смартфонах с ОС Android 7.0 и выше.

На более старых моделях телефонов могут не отображаться бегунки. Если это так, установите браузер Google Chrome и сделайте его основным.

Если и это не помогло, войдите в Личный кабинет в браузере Chrome и настройте тариф там."
Главное,Приложение Мой МТС,Как обновить пакеты по тарифу,"С помощью сервиса Обнови пакет вы получите новые пакеты Гбайт, минут и СМС, оплатив тариф досрочно. Эти пакеты будут действовать месяц. Поэтому в следующий раз плата по тарифу спишется через месяц, а не в день, к которому вы привыкли. Если у вас настроен автоплатёж по расписанию, советуем проверить его дату и при необходимости изменить её.

Обновить пакеты не получится, если:

на балансе не хватает денег для обновления
номер заблокирован
плата по тарифу списывается ежедневно, потому что на балансе не хватает денег на оплату за месяц
действует 100% скидка на тариф
после разблокировки номера плата по тарифу должна списаться ближайшей ночью
Как обновить пакеты
1. На главном экране приложения Мой МТС нажмите на название своего тарифа


2. Нажмите на пакет минут


3. Нажмите Обновить пакеты


Обновить пакеты также можно с помощью команды или СМС. Для этого наберите *929# или отправьте СМС с любым текстом на номер 9290"
Главное,Приложение Мой МТС,Как изменить свой тариф,"1. На главном экране перейдите в раздел Каталог


 2. Выберите Тарифы


 3. На открывшемся экране вы увидите категории, в которые сгруппированы тарифы, доступные для перехода. Нажмите на нужную категорию


 4. Выберите тариф и нажмите на его название, чтобы посмотреть полное описание


 5. Для смены тарифа нажмите Перейти на этот тариф

"
Главное,Приложение Мой МТС,Добровольная блокировка,"Эта услуга поможет сохранить пакеты минут, интернета и СМС, а также деньги на балансе при потере телефона или оставит за вами номер, которым вы планируете пользоваться лишь время от времени.

При добровольной блокировке:

на номере не работают услуги связи 
со счёта не списывается плата за тариф, кроме платы за саму блокировку и арендованное оборудование
В первые 14 дней добровольная блокировка бесплатная. Затем — 1,1 ₽/день.

Как подключить
 1. На главном экране нажмите на значок профиля или номер телефона


Если в вашем аккаунте есть привязанные номера, нажмите Перейти в профиль. Если привязанных номеров нет, вы сразу попадёте в свой профиль


 2. Пролистайте вниз до раздела Настройка связи. Выберите Добровольная блокировка


 3. Нажмите Заблокировать


 4. Нажмите Подключить


Как отключить
 1. На главном экране нажмите на значок профиля или номер телефона


Если в вашем аккаунте есть привязанные номера, нажмите Перейти в профиль. Если привязанных номеров нет, вы сразу попадёте в свой профиль


 2. Пролистайте вниз до раздела Настройка связи. Выберите Добровольная блокировка


 3. Нажмите Разблокировать


 4. Нажмите Отключить

"
Главное,Приложение Мой МТС,Как посмотреть подключённые услуги,"1. На главном экране нажмите Подключённые услуги и сервисы


2. На открывшемся экране вы увидите:

платные услуги и их стоимость, если такие подключены
список бесплатных услуг
Нажмите на название услуги, чтобы открыть её описание или отключить


Если у вас тариф с абонентской платой, она также будет показана на экране. Отключить плату за тариф нельзя, но можно изменить тариф на другой, если он вам не подходит. Как это сделать, рассказываем в статье

"
Главное,Приложение Мой МТС,Как отключить услуги,"1. На главном экране нажмите Подключённые услуги и сервисы


2. Вы увидите:

платные услуги и их стоимость, если такие подключены
список бесплатных услуг
Для отключения выберите услугу и на открывшемся экране с её описанием нажмите Отключить


Если у вас тариф с абонентской платой, она также будет показана на экране. Отключить плату за тариф нельзя, но можно изменить тариф на другой, если он вам не подходит. Как это сделать, рассказываем в статье

"
Главное,Приложение Мой МТС,Зачем менять SIM-карту,"Замена нужна, если вы потеряли SIM-карту или она вышла из строя"
